domein,product_url,product_naam,variant,prijs,vergelijkingsprijs,eenheid,eenheidsprijs,sku,categorieën
noototheek.nl,https://noototheek.nl/products/gevriesdroogd-fruit-mix,Gevriesdroogd Fruit Mix,Standaard,42.95,,,,6097343759768,
noototheek.nl,https://noototheek.nl/products/gevriesdroogd-fruit-mix,Gevriesdroogd Fruit Mix,Standaard,78.95,,,,6097345024055,
noototheek.nl,https://noototheek.nl/products/gevriesdroogd-fruit-mix,Gevriesdroogd Fruit Mix,Standaard,464.95,,,,8585056221293,
noototheek.nl,https://noototheek.nl/products/pindas-runners-gebrand-snack-noototheek,Pinda's (Runners) Gebrand & Gezouten,Standaard,2.99,,,,6097348937987,
noototheek.nl,https://noototheek.nl/products/pindas-runners-gebrand-snack-noototheek,Pinda's (Runners) Gebrand & Gezouten,Standaard,18.49,,,,6097355922945,
noototheek.nl,https://noototheek.nl/products/pindas-runners-gebrand-snack-noototheek,Pinda's (Runners) Gebrand & Gezouten,Standaard,32.99,,,,6097349191166,
noototheek.nl,https://noototheek.nl/products/chocolade-druppels-puur-80,Chocolade Druppels Puur,Standaard,7.95,,,,6097343676621,
noototheek.nl,https://noototheek.nl/products/mokka-boontjes-melk,Mokka Boontjes Melk,Standaard,7.95,,,,6097354056009,
noototheek.nl,https://noototheek.nl/products/mokka-boontjes-melk,Mokka Boontjes Melk,Standaard,22.95,,,,6097342699690,
noototheek.nl,https://noototheek.nl/products/mokka-boontjes-melk,Mokka Boontjes Melk,Standaard,99.95,,,,6097354454409,
noototheek.nl,https://noototheek.nl/products/speltmeel-volkoren,Speltmeel Volkoren,Standaard,3.99,,,,6097345249243,
noototheek.nl,https://noototheek.nl/products/chocolade-cashewnoten-puur,Chocolade Cashewnoten Puur,Standaard,5.49,,,,6097345677619,
noototheek.nl,https://noototheek.nl/products/chocolade-cashewnoten-puur,Chocolade Cashewnoten Puur,Standaard,15.75,,,,6097348148147,
noototheek.nl,https://noototheek.nl/products/chocolade-cashewnoten-puur,Chocolade Cashewnoten Puur,Standaard,79.95,,,,8715575002961,
noototheek.nl,https://noototheek.nl/products/walnoten-stukjes,Walnoten Stukjes,Standaard,6.75,,,,6097349668620,
noototheek.nl,https://noototheek.nl/products/walnoten-stukjes,Walnoten Stukjes,Standaard,12.25,,,,6097352578527,
noototheek.nl,https://noototheek.nl/products/walnoten-stukjes,Walnoten Stukjes,Standaard,124.95,,,,6097352349387,
noototheek.nl,https://noototheek.nl/products/amandelen-wit-ongebrand,Amandelen Wit Ongebrand,Standaard,5.95,,,,6097352671679,
noototheek.nl,https://noototheek.nl/products/amandelen-wit-ongebrand,Amandelen Wit Ongebrand,Standaard,11.95,,,,6097344369393,
